1.000000000000000000e+00,2.414882993698120117e+01,0.000000000000000000e+00,1.410000000000000000e+02,nan,3.316761994361877441e+01,nan,nan
2.000000000000000000e+00,3.316895985603332520e+01,0.000000000000000000e+00,2.900000000000000000e+01,nan,4.214937496185302734e+01,nan,nan
3.000000000000000000e+00,4.215087199211120605e+01,0.000000000000000000e+00,1.700000000000000000e+02,nan,5.115345382690429688e+01,nan,nan
4.000000000000000000e+00,5.115478181838989258e+01,1.000000000000000000e+00,1.700000000000000000e+02,1.410000000000000000e+02,5.865197086334228516e+01,-1.000000000000000000e+00,1.423120021820068359e+00
5.000000000000000000e+00,5.865340685844421387e+01,0.000000000000000000e+00,1.070000000000000000e+02,nan,6.765306282043457031e+01,nan,nan
6.000000000000000000e+00,6.765447282791137695e+01,1.000000000000000000e+00,2.900000000000000000e+01,1.700000000000000000e+02,7.516217398643493652e+01,1.000000000000000000e+00,9.567868709564208984e-01
7.000000000000000000e+00,7.516353201866149902e+01,0.000000000000000000e+00,3.300000000000000000e+01,nan,8.415851783752441406e+01,nan,nan
8.000000000000000000e+00,8.416248488426208496e+01,0.000000000000000000e+00,1.160000000000000000e+02,nan,9.315771293640136719e+01,nan,nan
9.000000000000000000e+00,9.315911078453063965e+01,0.000000000000000000e+00,1.020000000000000000e+02,nan,1.021581859588623047e+02,nan,nan
1.000000000000000000e+01,1.021596038341522217e+02,0.000000000000000000e+00,6.500000000000000000e+01,nan,1.111596519947052002e+02,nan,nan
1.100000000000000000e+01,1.111610088348388672e+02,1.000000000000000000e+00,1.160000000000000000e+02,6.500000000000000000e+01,1.186601250171661377e+02,1.000000000000000000e+00,1.415657043457031250e+00
1.200000000000000000e+01,1.186616499423980713e+02,0.000000000000000000e+00,9.600000000000000000e+01,nan,1.276642208099365234e+02,nan,nan
1.300000000000000000e+01,1.276655578613281250e+02,1.000000000000000000e+00,2.900000000000000000e+01,1.160000000000000000e+02,1.351626529693603516e+02,1.000000000000000000e+00,1.942919015884399414e+00
1.400000000000000000e+01,1.351640849113464355e+02,0.000000000000000000e+00,1.000000000000000000e+01,nan,1.441532537937164307e+02,nan,nan
1.500000000000000000e+01,1.441571328639984131e+02,0.000000000000000000e+00,1.430000000000000000e+02,nan,1.531531498432159424e+02,nan,nan
1.600000000000000000e+01,1.531545169353485107e+02,1.000000000000000000e+00,1.160000000000000000e+02,1.410000000000000000e+02,1.606525769233703613e+02,-1.000000000000000000e+00,1.583363056182861328e+00
1.700000000000000000e+01,1.606540658473968506e+02,0.000000000000000000e+00,2.000000000000000000e+00,nan,1.696537969112396240e+02,nan,nan
1.800000000000000000e+01,1.696551039218902588e+02,0.000000000000000000e+00,8.400000000000000000e+01,nan,1.786519088745117188e+02,nan,nan
1.900000000000000000e+01,1.786533780097961426e+02,0.000000000000000000e+00,1.880000000000000000e+02,nan,1.876559228897094727e+02,nan,nan
2.000000000000000000e+01,1.876573088169097900e+02,0.000000000000000000e+00,7.300000000000000000e+01,nan,1.966543698310852051e+02,nan,nan
